,num_words,word_list_size,chars_between,mod_probability,symbol_guesses,total_strength,days_to_crack
0,2,1000,2,0.5,10,635250000.0,7.352430555555555e-08
1,2,1000,2,0.6,10,860159999.9999999,9.955555555555555e-08
2,2,1000,2,0.7,10,1119090000.0,1.2952430555555555e-07
3,2,1000,2,0.8,10,1412040000.0,1.6343055555555555e-07
4,2,1000,3,0.5,10,937750000.0,1.0853587962962963e-07
5,2,1000,3,0.6,10,1269759999.9999998,1.4696296296296294e-07
6,2,1000,3,0.7,10,1651990000.0,1.912025462962963e-07
7,2,1000,3,0.8,10,2084439999.9999998,2.4125462962962964e-07
8,2,1000,4,0.5,10,1240250000.0,1.435474537037037e-07
9,2,1000,4,0.6,10,1679359999.9999998,1.9437037037037035e-07
10,2,1000,4,0.7,10,2184890000.0,2.5288078703703707e-07
11,2,1000,4,0.8,10,2756840000.0,3.190787037037037e-07
12,2,1100,2,0.5,10,768652500.0,8.896440972222222e-08
13,2,1100,2,0.6,10,1040793599.9999999,1.204622222222222e-07
14,2,1100,2,0.7,10,1354098900.0,1.5672440972222221e-07
15,2,1100,2,0.8,10,1708568399.9999998,1.9775097222222218e-07
16,2,1100,3,0.5,10,1134677500.0,1.3132841435185184e-07
17,2,1100,3,0.6,10,1536409599.9999998,1.7782518518518515e-07
18,2,1100,3,0.7,10,1998907900.0,2.3135508101851852e-07
19,2,1100,3,0.8,10,2522172400.0,2.9191810185185185e-07
20,2,1100,4,0.5,10,1500702500.0,1.7369241898148148e-07
21,2,1100,4,0.6,10,2032025599.9999998,2.3518814814814814e-07
22,2,1100,4,0.7,10,2643716900.0,3.0598575231481483e-07
23,2,1100,4,0.8,10,3335776399.9999995,3.860852314814815e-07
24,2,1200,2,0.5,10,914760000.0,1.05875e-07
25,2,1200,2,0.6,10,1238630399.9999998,1.4335999999999998e-07
26,2,1200,2,0.7,10,1611489600.0,1.86515e-07
27,2,1200,2,0.8,10,2033337599.9999998,2.3533999999999996e-07
28,2,1200,3,0.5,10,1350360000.0,1.5629166666666666e-07
29,2,1200,3,0.6,10,1828454399.9999998,2.1162666666666662e-07
30,2,1200,3,0.7,10,2378865600.0,2.753316666666666e-07
31,2,1200,3,0.8,10,3001593600.0,3.474066666666667e-07
32,2,1200,4,0.5,10,1785960000.0,2.0670833333333334e-07
